timestamp,open,high24h,low24h,lastPr,quoteVolume
2025-04-06 10:15:02.124,121.65,121.66,117.2,119.37,48337868.8622
2025-04-06 10:16:02.118,121.61,121.65,117.2,119.39,48344043.9924
2025-04-06 10:17:02.390,121.53,121.54,117.2,119.38,48330604.4605
2025-04-06 10:18:01.479,121.5,121.51,117.2,119.17,48312574.5196
2025-04-06 10:19:01.142,121.41,121.47,117.2,119.09,48309287.2135
2025-04-06 10:20:01.722,121.28,121.47,117.2,119.05,48269514.5468
2025-04-06 10:21:05.319,121.39,121.47,117.2,118.94,48281119.3731
2025-04-06 10:22:00.774,121.34,121.47,117.2,119.13,48320400.7629
2025-04-06 10:23:01.945,121.37,121.47,117.2,119.12,48343413.4641
2025-04-06 11:46:35.238,120.12,121.11,117.2,118.5,47267016.9319
2025-04-06 11:46:59.648,120.12,121.11,117.2,118.48,47276630.4897
2025-04-06 11:47:59.937,120.11,121.11,117.2,118.51,47286730.2493
2025-04-06 11:49:00.230,120.29,121.11,117.2,118.42,46842251.1007
2025-04-06 11:50:00.188,120.3,121.11,117.2,118.41,46788088.4155
2025-04-06 11:51:01.958,120.33,121.11,117.2,118.46,46670186.6352
2025-04-06 11:52:01.644,120.29,121.11,117.2,118.46,46542333.5523
2025-04-06 11:53:01.026,120.32,121.11,117.2,118.4,46331309.9884
2025-04-06 11:54:00.707,120.3,121.11,117.2,118.47,46306061.0556
2025-04-06 11:55:00.666,120.33,121.11,117.2,118.69,46279827.6369
2025-04-06 11:56:02.153,120.25,121.11,117.2,118.72,46285504.0887
2025-04-06 11:57:00.331,120.25,121.11,117.2,118.77,46284557.7343
2025-04-06 11:58:01.187,120.26,121.11,117.2,118.76,46254028.8243
2025-04-06 11:58:59.054,120.26,121.11,117.2,118.69,46276521.9666
2025-04-06 11:59:59.034,120.3,121.11,117.2,118.63,46273145.956
2025-04-06 12:00:58.691,120.21,121.11,117.2,118.51,46275459.3013
2025-04-06 12:02:00.495,120.17,121.11,117.2,118.53,46247810.7562
2025-04-06 12:02:59.893,120.17,121.11,117.2,118.62,46273140.3924
2025-04-06 12:03:59.866,120.28,121.11,117.2,118.62,46323024.8304
2025-04-06 12:05:00.468,120.07,121.11,117.2,118.77,46299675.503
2025-04-06 12:06:01.650,120.09,121.11,117.2,118.75,46308071.0861
2025-04-06 12:07:01.021,120.12,121.11,117.2,118.68,46308516.106
2025-04-06 12:08:00.394,120.28,121.11,117.2,118.71,46310181.2583
2025-04-06 12:09:00.729,120.19,121.11,117.2,118.65,46302055.3114
2025-04-06 12:10:00.340,120.28,121.11,117.2,118.75,46316081.9807
2025-04-06 12:11:00.629,120.21,121.11,117.2,118.74,46329281.5733
2025-04-06 12:12:00.939,120.21,121.11,117.2,118.71,46344774.9951
2025-04-06 12:13:00.906,120.1,121.11,117.2,118.6,46357407.3957
2025-04-06 12:14:00.887,120.12,121.11,117.2,118.4,46379157.3754
2025-04-06 12:15:00.871,120.1,121.11,117.2,118.39,46380996.7357
2025-04-06 12:16:01.762,120.02,121.11,117.2,118.29,46393710.6246
2025-04-06 12:17:00.240,120.02,121.11,117.2,118.23,46421516.0581
2025-04-06 12:18:01.415,120.18,121.11,117.2,118.24,46424744.0278
2025-04-06 12:19:01.087,120.21,121.11,117.2,118.26,46401179.5569
2025-04-06 12:20:01.085,119.84,121.11,117.2,118.27,46373529.148
